name,producer,type,origin,flavor,category,comment,alcohol
Weihenstephan Hefeweizen,Bayerische Staatsbrauerei Weihenstephan,Light beer,Germany,Fruity,Wheat Beer,Gentle carbonation,5
Guinness Draught,Guinness,Dark beer,Ireland,Coffee,Stout,Creamy and smooth texture,4
Sierra Nevada Pale Ale,Sierra Nevada Brewing Co.,Light beer,United States,Fruity,Pale Ale,Moderate carbonation,5
Chimay Blue,Chimay Brewery,Dark beer,Belgium,Fruity,Lager,Bottle-conditioned with lively carbonation,9
Pilsner Urquell,Plze Prazdroj,Light beer,Czech Republic,Bitter,Pale Ale,Crisp and well-carbonated,5
Rochefort 10,Brasserie de Rochefort,Dark beer,Belgium,Chocolate,Pale Ale,Rich and full-bodied with soft carbonation,11
Heineken Lager Beer,Heineken,Light beer,Netherlands,Malt,Lager,Moderate carbonation,5
Samuel Adams Boston Lager,Boston Beer Company,Amber Lager,United States,Malt,Wheat Beer,Medium carbonation,5
Sapporo Premium Beer,Sapporo Brewery,Light beer,Japan,Malt,IPA,Refreshing and well-carbonated,5
Duvel,Duvel Moortgat Brewery,Light beer,Belgium,Fruity,Porter,Effervescent and highly carbonated,8
Stella Artois,Anheuser-Busch InBev,Light beer,Belgium,Bitter,IPA,Moderately carbonated,5
Paulaner Hefe-Wei?bier,Paulaner Brewery,Light beer,Germany,Fruity,Lager,Gentle carbonation,5
Corona Extra,Grupo Modelo,Light beer,Mexico,Fruity,Pale Ale,Highly carbonated,4
Founders All Day IPA,Founders Brewing Co.,Light beer,United States,Fruity,Pale Ale,Moderate carbonation,7
La Chouffe,Brasserie d'Achouffe,Light beer,Belgium,Fruity,Porter,Effervescent and highly carbonated,8
Warsteiner Premium Verum,Warsteiner Brewery,Light beer,Germany,Bitter,Lager,Medium carbonation,8
Fuller's London Porter,Fuller's Brewery,Dark beer,United Kingdom,Chocolate,Lager,Smooth and moderate carbonation,4
Leffe Blonde,Abbaye de Leffe,Light beer,Belgium,Fruity,Lager,Lively carbonation,6
Desperados,Heineken,Light beer,France,Bitter,Porter,Highly carbonated,9
Augustiner Br?u Lagerbier Hell,Augustiner-Br?u,Light beer,Germany,Malt,Porter,Moderate carbonation,5
Duvel Tripel Hop Citra,Duvel Moortgat Brewery,Light beer,Belgium,Fruity,Stout,Effervescent and highly carbonated,9
Hofbr?u Original,Staatliches Hofbr?uhaus M?nchen,Light beer,Germany,Fruity,Lager,Moderate carbonation,5
Newcastle Brown Ale,John Smith's Brewery (Heineken),Dark beer,United Kingdom,Fruity,Stout,Gentle carbonation,4
Erdinger Weissbier,Erdinger Weissbr?u,Light beer,Germany,Fruity,Wheat Beer,Gentle carbonation,5
Peroni Nastro Azzurro,Birra Peroni Industriale,Light beer,Italy,Bitter,Wheat Beer,Moderately carbonated,5
Samuel Smith's Oatmeal Stout,Samuel Smith's Brewery,Dark beer,United Kingdom,Coffee,Lager,Low carbonation,5
Budweiser Budvar (Czechvar),Bud?jovick Budvar,Light beer,Czech Republic,Bitter,IPA,Moderate carbonation,5
Tripel Karmeliet,Brouwerij Bosteels,Light beer,Belgium,Malt,Pale Ale,Lively carbonation,8
Hoegaarden Witbier,Brouwerij Hoegaarden,Light beer,Belgium,Fruity,Porter,Highly carbonated,4
Rogue Dead Guy Ale,Rogue Ales,Amber Ale,United States,Malt,IPA,Moderate carbonation,6
Ayinger Celebrator Doppelbock,Ayinger Brewery,Dark beer,Germany,Fruity,Lager,Moderate carbonation,6
Orval Trappist Ale,Brasserie d'Orval,Light beer,Belgium,Fruity,Lager,Bottle-conditioned with lively carbonation,6
Tripel Westmalle,Westmalle Brewery,Light beer,Belgium,Fruity,Wheat Beer,Effervescent and highly carbonated,9
K∩┐╜stritzer Schwarzbier,K∩┐╜stritzer Schwarzbierbrauerei,Dark beer,Germany,Malt,IPA,Gentle carbonation,4
Weihenstephaner Vitus,Bayerische Staatsbrauerei Weihenstephan,Light beer,Germany,Fruity,IPA,Effervescent and highly carbonated,7
Sierra Nevada Torpedo Extra IPA,Sierra Nevada Brewing Co.,Light beer,United States,Fruity,Pale Ale,Moderate carbonation,7
Ayinger Br?uweisse,Ayinger Brewery,Light beer,Germany,Fruity,Porter,Gentle carbonation,5
Amstel Lager,Amstel Brouwerij,Light beer,Netherlands,Bitter,IPA,Moderate carbonation,5
Founders Breakfast Stout,Founders Brewing Co.,Dark beer,United States,Chocolate,Lager,Low carbonation,8
Franziskaner Hefe-Weisse,Spaten-Franziskaner-Br?u,Light beer,Germany,Fruity,Lager,Gentle carbonation,5
Hofbr?u Hefe Weizen,Staatliches Hofbr?uhaus M?nchen,Light beer,Germany,Fruity,IPA,Gentle carbonation,15

Bud Light,Anheuser-Busch InBev,Light beer,United States,Malt,IPA,Highly carbonated,4
Schfferhofer Hefeweizen,Radeberger Gruppe,Light beer,Germany,Fruity,Porter,Gentle carbonation,14
Erdinger Dunkel,Erdinger Weissbr?u,Dark beer,Germany,Malt,IPA,Gentle carbonation,5
Harp Lager,Guinness,Light beer,Ireland,Malt,Pale Ale,Moderate carbonation,5
Weihenstephaner Kristallweissbier,Bayerische Staatsbrauerei Weihenstephan,Light beer,Germany,Fruity,Lager,Lively carbonation,5
Anchor Steam Beer,Anchor Brewing Company,Amber Lager,United States,Caramel,Wheat Beer,Low carbonation,4
Brooklyn Lager,Brooklyn Brewery,Amber Lager,United States,Fruity,Wheat Beer,Medium carbonation,5
Leffe Brown,Abbaye de Leffe,Dark beer,Belgium,Chocolate,Porter,Medium carbonation,6
Westvleteren 12 (XII),Westvleteren Brewery,Dark beer,Belgium,Chocolate,Stout,Rich and full-bodied,10
Stone IPA,Stone Brewing Co.,Light beer,United States,Fruity,IPA,Moderate carbonation,6
Tsingtao,Tsingtao Brewery,Light beer,China,Malt,Lager,Medium carbonation,4
Tiger Beer,Asia Pacific Breweries,Light beer,Singapore,Bitter,IPA,Medium carbonation,5
Quilmes,Cervecería y maltería Quilmes,Light beer,Argentina,Malt,IPA,Moderate carbonation,4
Victoria Bitter (VB),Carlton & United Breweries,Light beer,Australia,Bitter,IPA,Medium carbonation,4
Foster's Lager,Foster's Group,Light beer,Australia,Malt,Lager,Medium carbonation,4
Beck's,Beck's Brewery,Light beer,Germany,Malt,Lager,Medium carbonation,5
Asahi Super Dry,Asahi Breweries,Light beer,Japan,Malt,Lager,Crisp and well-carbonated,5
Heineken Dark Lager,Heineken,Dark beer,Netherlands,Chocolate,Lager,Medium carbonation,5
Baltika #7,Baltika Breweries,Light beer,Russia,Malt,Lager,Medium carbonation,5
Skol,Cervejarias Reunidas Skol Caracu,Light beer,Brazil,Crisp,Lager,Medium carbonation,4.7
Brahma,Ambev,Light beer,Brazil,Crisp,Lager,Medium carbonation,4
Modelo Especial,Grupo Modelo,Light beer,Mexico,Malt,Lager,Medium carbonation,4
Negra Modelo,Grupo Modelo,Dark beer,Mexico,Chocolate,Lager,Medium carbonation,5
Tecate,Heineken Italia,Light beer,Mexico,Crisp,Lager,Medium carbonation,4
Dos Equis XX Lager Especial,Cuauhtémoc Moctezuma Brewery,Light beer,Mexico,Malt,Lager,Medium carbonation,4
